0,6,8,10,12,12,15,51,64,73,82,84,93,82,90,73,52,12,13,12,10,0,8,0,7,11
13,14,14,14,16,46,66,82,103,108,113,118,134,143,148,119,114,101,72,34,13,14,14,5,6,11
9,11,17,28,14,53,70,92,106,110,118,132,150,156,148,125,126,120,101,56,20,16,16,6,9,13
12,13,25,14,13,54,63,94,104,111,117,137,159,154,145,125,127,124,107,59,22,10,15,7,8,10
12,14,13,29,19,50,55,72,104,109,119,133,148,144,138,116,120,119,110,71,13,9,11,0,7,7
12,14,13,27,20,37,56,51,87,104,118,130,140,137,131,108,109,114,112,96,51,23,8,0,7,12
33,14,29,29,12,15,59,64,82,94,126,142,152,141,138,110,105,105,109,92,69,52,29,8,14,8
8,0,5,0,0,33,55,70,88,105,130,139,144,138,112,96,80,75,78,77,73,58,41,6,11,8
11,7,5,9,10,13,50,68,102,111,124,133,135,130,115,86,66,65,64,57,59,56,47,6,11,12
10,0,6,10,8,11,23,74,104,115,128,126,130,124,123,98,64,55,38,27,33,44,27,0,7,6
0,0,0,0,5,7,14,75,102,112,128,132,126,113,118,103,59,50,15,10,13,12,10,0,8,7
6,0,0,0,7,12,52,78,105,115,122,129,128,123,120,106,56,51,31,10,8,7,6,0,6,6
5,0,0,0,0,0,35,93,107,120,128,132,135,125,123,103,59,60,43,13,11,9,6,0,8,7
5,0,0,0,0,10,52,100,111,121,135,137,135,127,121,101,64,65,39,15,11,12,8,5,12,10
6,0,0,0,5,13,60,101,112,123,135,136,128,121,113,76,56,51,38,14,8,12,11,0,10,9
6,0,5,0,6,11,67,104,117,125,135,126,126,118,111,82,63,61,37,17,11,0,14,3,11,11
13,11,12,12,9,11,76,111,126,129,137,129,128,114,104,82,66,63,55,20,12,10,14,0,11,14
9,5,7,8,15,35,67,108,121,127,144,147,129,118,103,72,64,64,34,14,13,9,11,6,7,10
6,0,9,10,13,38,74,115,139,143,164,161,127,110,98,73,59,64,54,17,14,11,12,8,13,11
7,9,11,17,14,52,78,109,135,143,160,164,143,118,105,92,65,58,47,33,31,13,12,10,10,11
33,14,14,14,15,53,92,122,138,144,139,136,131,108,94,72,62,63,30,35,12,12,12,11,10,7
