0,52,18,10,7,8,11,65,96,125,137,138,141,127,114,71,62,78,72,59,44,28,12,5,12,14
65,83,17,8,20,35,75,104,112,127,133,143,138,141,135,90,75,105,103,69,77,15,28,12,33,14
50,79,53,13,58,85,102,107,106,102,102,107,125,129,127,105,93,102,104,84,64,23,14,10,19,50
25,53,29,12,36,57,71,61,11,0,14,61,110,117,113,85,78,76,55,36,23,14,11,8,6,11
10,55,13,33,35,16,9,0,0,0,0,47,108,112,105,78,63,63,14,12,14,10,0,0,8,0
0,0,0,10,14,0,0,0,0,0,0,31,86,96,87,58,41,14,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,78,66,15,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,66,99,105,106,95,37,6,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,6,25,20,52,93,102,127,123,105,87,38,8,0,4,5
0,0,0,0,0,0,0,0,0,0,0,6,25,48,81,111,120,131,137,123,107,64,7,0,0,0
0,8,6,0,0,0,0,0,0,0,0,7,16,58,101,101,130,172,149,126,103,75,15,8,10,7
6,5,0,5,7,0,0,0,0,0,0,11,50,75,100,104,135,194,152,117,101,76,12,6,10,8
0,0,0,0,7,4,0,0,0,0,8,13,58,84,103,113,125,179,144,122,100,64,10,6,7,5
0,0,0,0,0,0,0,0,0,0,5,11,55,106,105,99,119,148,123,107,91,15,7,0,0,9
0,0,4,0,0,0,0,0,0,0,0,12,62,97,105,103,116,125,115,80,56,10,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,27,71,101,101,97,103,107,72,56,13,12,5,7,10,6
0,0,0,0,0,0,0,0,0,0,0,14,67,80,84,79,79,78,57,13,7,7,0,0,7,10
0,0,0,0,0,0,0,0,0,0,0,22,70,79,80,73,73,65,23,9,0,0,5,0,0,4
0,0,0,0,0,0,0,0,0,0,0,14,67,80,76,72,69,60,11,6,5,0,5,0,7,0
6,0,8,6,0,0,0,0,0,0,10,52,75,82,83,79,72,56,40,11,13,5,8,10,9,11
0,0,7,7,0,0,0,5,0,0,13,47,70,83,78,73,61,38,27,11,22,11,7,9,10,10
9,9,0,8,7,0,0,0,0,0,10,35,67,80,76,66,37,32,12,10,14,7,11,9,12,6
0,6,0,0,0,0,0,0,0,0,0,11,56,68,57,14,8,10,0,0,0,0,6,8,7,5
0,0,0,0,0,0,0,0,0,0,0,8,63,52,13,0,7,12,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,57,13,0,0,0,0,0,4,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,50,64,25,9,5,0,6,0,5,0,0,0,0,0,6
0,6,0,0,0,0,0,0,0,0,0,75,75,60,13,7,9,10,6,9,9,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,73,78,66,31,7,10,12,9,8,0,0,0,0,5,0
0,0,0,0,0,0,0,5,0,0,9,85,90,77,54,10,13,14,9,11,5,0,0,0,5,5
0,0,0,0,0,0,0,0,3,0,0,64,82,65,43,11,10,10,0,7,0,4,0,0,0,4
6,8,0,0,0,0,0,0,0,0,9,73,99,77,48,25,7,14,8,11,12,8,4,0,6,8
7,8,6,0,0,0,4,0,0,0,0,54,94,63,50,20,11,33,10,16,12,10,0,5,7,7
