5,9,13,14,22,36,53,50,57,59,60,74,80,70,73,71,63,57,54,32,19,10,10,8,7,0
5,6,11,17,19,52,54,52,57,60,59,67,80,67,76,73,63,59,55,38,14,10,7,8,5,0
0,7,12,14,43,56,55,60,56,62,75,78,86,74,77,77,67,63,60,54,35,13,11,10,11,6
8,8,10,43,50,54,52,50,72,85,91,93,99,84,86,96,95,86,68,54,52,38,20,17,12,10
9,13,13,54,52,25,58,69,87,106,111,110,102,106,116,108,103,98,74,59,54,50,42,25,14,13
7,0,0,35,55,62,67,66,85,97,100,93,100,101,107,104,95,90,76,58,53,50,34,22,13,9
8,10,12,35,57,62,60,60,81,101,106,108,110,104,103,101,91,83,74,58,51,50,33,14,14,7
0,10,12,41,55,58,53,55,67,88,103,100,101,101,101,95,84,77,68,56,38,27,25,21,13,0
0,0,11,50,52,54,58,54,66,83,97,93,101,100,95,92,82,75,66,52,15,25,21,17,12,8
0,7,13,55,62,46,12,28,68,77,103,103,105,100,97,94,86,75,70,53,17,19,17,20,13,8
0,9,14,51,52,25,18,38,68,74,85,100,104,97,88,85,79,71,65,52,27,14,20,47,14,8
8,9,17,54,53,50,23,51,61,70,86,92,92,81,75,79,77,71,62,51,40,13,25,58,50,10
0,13,50,63,51,13,15,50,61,67,77,91,83,74,71,74,70,69,61,53,32,13,23,42,25,9
0,0,10,14,11,13,11,12,51,59,68,70,71,57,55,59,57,55,50,13,8,0,0,8,0,0
0,11,23,44,31,31,37,54,61,69,77,78,80,72,68,68,70,68,61,52,31,11,12,27,20,8
0,8,26,50,47,47,52,56,71,84,92,95,91,90,83,80,80,76,68,57,47,12,13,31,29,10
8,19,50,53,51,52,56,63,77,87,97,104,105,98,106,95,92,89,79,64,54,14,31,50,45,12
13,25,52,56,55,54,59,66,87,100,116,123,129,122,107,111,106,100,86,66,60,40,16,52,51,13
12,16,54,60,57,57,65,77,94,113,129,148,152,139,133,126,123,116,96,73,62,51,32,45,46,14
17,36,50,57,61,62,64,78,98,121,137,147,148,149,141,130,127,116,92,75,64,54,51,23,50,11
35,50,51,56,57,58,66,78,97,114,141,165,152,149,140,136,135,124,99,84,67,57,55,55,55,48
33,46,51,56,55,58,64,75,93,116,144,167,193,149,132,137,134,126,105,77,67,56,52,51,48,12
15,25,32,50,50,54,60,69,90,118,152,182,210,141,119,140,132,124,100,74,59,48,39,39,40,35
25,33,40,54,57,56,59,64,82,95,119,131,153,125,97,106,118,111,94,75,61,51,43,38,40,22
9,10,14,47,36,43,52,53,65,77,90,100,94,86,72,75,82,81,70,64,54,16,13,23,23,10
0,0,0,13,23,25,19,44,57,63,66,75,67,69,62,65,76,74,68,55,37,9,7,13,13,0
0,8,10,13,13,13,12,28,50,53,57,62,60,59,61,65,66,64,62,52,14,6,8,10,9,0
0,6,11,13,13,10,13,13,35,51,54,58,57,55,58,63,61,60,59,51,11,8,7,7,0,0
0,0,8,10,9,7,10,12,16,45,52,58,54,51,61,60,59,58,55,29,7,0,0,0,0,0
0,0,0,0,0,0,8,8,12,34,35,53,54,39,58,57,57,55,52,11,0,0,0,0,0,5
0,0,0,7,6,7,9,0,20,29,14,47,52,34,55,59,54,53,51,10,7,0,0,0,0,0
0,5,0,7,6,8,0,9,21,13,23,18,20,26,54,53,51,47,29,9,0,0,0,0,0,0
