11,20,23,14,16,30,11,47,55,69,72,69,70,72,69,65,61,56,14,11,9,0,5,0,0,0
12,64,50,17,16,47,44,50,63,70,63,69,81,76,78,70,67,72,52,12,6,7,0,0,7,0
11,58,36,32,15,50,50,56,56,64,80,78,81,78,78,71,64,69,61,13,0,0,9,0,7,0
14,54,43,38,17,48,16,19,71,90,96,92,90,79,79,77,80,74,68,52,8,6,11,0,8,0
12,17,52,50,13,9,53,66,90,111,117,111,93,94,96,86,68,71,70,59,35,9,14,8,0,9
11,10,41,53,8,53,73,77,98,116,109,104,104,109,99,82,68,68,68,59,36,8,14,7,0,9
14,11,52,58,54,75,101,97,109,114,124,125,125,126,109,93,79,67,62,54,27,9,12,7,9,10
57,14,21,55,53,73,94,76,78,105,116,118,122,127,115,95,72,59,58,51,7,11,13,8,8,0
25,14,14,52,54,54,68,63,67,83,91,91,104,118,110,91,71,58,53,10,0,11,5,0,0,0
7,10,11,52,52,15,53,54,57,63,77,89,103,109,107,93,68,58,23,7,0,0,0,0,7,0
0,10,14,54,53,37,21,30,58,65,75,84,96,102,101,84,67,57,22,10,0,0,0,0,0,0
0,7,15,56,65,52,46,51,58,65,73,84,91,93,89,80,66,57,50,10,0,0,0,0,0,0
0,6,10,53,73,51,50,52,59,65,74,80,82,84,83,78,65,56,35,10,6,0,7,0,0,0
0,0,0,0,0,7,10,11,34,51,57,60,65,65,66,59,48,17,10,0,0,0,0,0,0,0
0,0,0,9,8,8,14,15,26,58,59,64,73,81,91,76,70,59,50,14,7,0,0,0,0,0
0,6,8,0,7,11,14,50,56,60,68,71,72,79,88,89,80,67,56,13,8,0,0,0,0,0
10,10,13,12,9,13,51,52,60,66,71,79,83,89,102,111,91,73,59,38,12,0,10,7,8,7
8,14,20,25,13,27,52,52,59,66,72,80,90,107,128,130,108,85,66,52,13,14,13,9,0,0
11,16,37,12,18,50,58,59,65,71,72,78,93,125,140,131,120,98,75,58,50,15,11,0,0,0
13,16,45,48,30,51,58,65,75,78,86,96,112,140,143,142,135,116,86,68,55,41,15,13,30,13
27,50,50,54,53,61,65,69,79,83,92,107,118,144,168,158,149,129,95,79,72,65,59,53,56,50
19,35,38,51,54,59,63,65,73,78,91,109,126,147,172,167,148,117,87,69,56,25,34,7,6,12
30,33,36,42,38,54,62,61,70,86,103,129,140,155,178,186,145,112,80,60,47,38,31,22,28,17
30,37,46,42,51,54,60,64,78,89,97,110,124,138,145,132,124,90,72,62,53,44,26,25,26,18
23,32,27,31,51,51,57,62,78,84,95,99,101,115,116,99,89,87,64,54,38,23,14,14,14,14
13,30,15,42,51,39,55,65,76,80,93,93,94,98,96,85,75,73,60,52,29,15,15,10,11,8
11,19,30,30,28,21,56,64,74,78,84,84,86,89,85,72,64,58,59,47,12,12,11,10,6,8
