0,13,8,6,0,26,58,57,54,52,54,65,80,89,92,105,105,95,88,70,54,27,12,8,9,6
7,10,32,6,5,33,79,72,63,57,59,73,89,91,98,93,106,107,92,96,63,50,15,13,10,9
0,8,17,13,0,0,12,54,38,56,76,85,89,88,79,87,102,105,114,85,60,50,14,10,10,10
7,12,14,6,10,8,7,0,59,84,88,74,67,62,75,95,117,123,114,85,60,50,11,5,8,8
6,11,12,7,8,0,9,43,78,93,79,60,56,64,84,108,126,131,117,90,65,51,11,7,0,0
7,0,7,0,0,6,12,53,86,94,54,15,55,69,89,106,119,124,123,99,70,51,13,11,0,7
0,0,12,0,12,14,50,50,59,58,33,23,57,67,83,103,114,125,119,100,71,38,13,8,0,0
0,0,13,10,12,15,28,25,50,54,28,51,58,66,78,102,112,118,117,92,65,32,12,9,0,0
0,7,10,0,14,13,14,11,27,54,12,53,57,65,74,99,112,118,119,86,66,28,12,6,0,0
0,0,8,8,11,0,7,12,38,13,43,50,53,58,72,94,114,113,116,90,63,23,9,0,6,0
0,0,9,8,6,0,13,20,44,13,12,12,51,52,66,76,95,99,95,75,60,14,0,0,0,0
0,0,11,0,0,11,14,14,36,45,36,13,50,50,59,68,82,81,80,66,57,12,0,0,0,0
0,0,9,0,0,13,13,17,35,45,48,44,53,51,57,65,73,75,75,64,56,14,0,0,0,0
0,0,0,0,0,0,0,7,10,12,17,14,18,12,32,52,59,62,63,57,26,0,0,0,0,0
6,7,13,10,12,13,22,25,45,41,43,53,58,58,62,73,83,86,84,75,61,41,12,8,9,0
13,36,60,56,43,47,51,51,55,55,55,58,63,73,77,85,103,120,124,94,74,57,38,11,11,9
44,80,97,72,60,58,57,55,59,63,62,64,70,75,82,97,115,182,178,113,82,64,54,32,10,8
50,91,97,63,59,56,60,54,59,61,61,61,67,71,77,89,114,134,125,99,78,65,53,23,10,8
54,83,82,62,61,59,60,56,67,72,62,66,71,74,80,90,115,125,126,99,78,65,55,15,11,10
38,64,66,60,61,55,51,56,66,71,83,76,74,81,84,97,103,126,117,94,74,64,55,29,46,14
45,53,59,60,60,60,60,60,68,68,76,72,69,74,84,97,120,129,116,110,93,76,66,59,59,50
13,39,51,55,56,57,58,56,57,62,61,62,75,84,83,107,119,117,117,93,72,60,51,13,7,0
14,29,37,39,41,52,55,51,52,57,57,58,66,67,87,157,120,105,103,88,69,51,37,24,23,0
10,31,50,42,51,53,54,52,54,54,56,55,62,68,83,89,98,96,95,81,66,51,25,12,15,10
10,17,23,14,28,52,54,52,53,52,54,54,57,68,74,81,86,93,87,74,58,36,11,10,11,8
0,13,12,11,14,27,52,50,48,51,53,54,54,65,76,77,81,86,86,67,53,27,8,8,8,0
10,13,11,10,11,18,41,50,50,51,51,51,51,63,70,79,75,80,77,62,39,15,10,6,6,0
8,8,11,10,7,13,16,28,48,33,33,33,50,60,66,78,73,75,69,57,19,12,10,7,0,0
0,0,8,0,0,6,13,21,50,29,13,12,31,57,67,71,69,68,64,52,12,0,8,0,0,0
0,0,7,0,0,8,12,16,51,36,14,13,34,56,62,68,67,65,59,52,9,9,0,0,0,0
0,0,7,0,0,6,12,14,50,50,13,16,34,56,61,68,65,64,56,51,14,8,0,0,0,0
0,0,6,0,0,8,13,18,50,32,12,14,25,54,60,67,61,58,51,25,9,8,0,0,0,0
0,0,0,0,0,7,12,34,40,15,14,13,37,54,60,65,64,62,53,46,15,9,0,0,0,0
0,0,0,0,5,8,14,57,37,10,13,13,50,66,63,70,66,63,57,52,17,10,7,0,0,0
0,0,5,0,0,8,14,53,13,13,9,12,42,59,64,65,69,61,56,51,13,9,7,0,0,0
0,5,0,0,6,8,14,14,8,7,0,10,13,45,57,69,63,59,55,38,11,7,0,0,0,0
0,7,0,0,8,9,11,9,11,9,0,9,11,23,52,62,62,57,56,39,12,9,0,0,0,0
0,9,0,0,6,6,10,0,9,9,7,9,13,13,50,58,58,55,53,34,10,8,5,0,0,0
0,0,0,0,0,8,0,6,8,8,0,0,12,14,26,56,56,53,50,13,8,0,0,0,0,0
0,0,0,0,0,0,0,5,0,5,0,0,9,9,13,51,53,51,42,10,0,0,0,0,0,0
0,13,9,6,0,25,59,57,54,52,54,64,80,89,92,105,105,94,89,70,54,27,12,8,10,6
7,10,29,7,5,27,79,72,63,56,59,73,88,91,98,93,106,107,92,96,63,51,15,13,9,9
0,8,18,14,0,0,12,54,38,56,76,86,89,87,79,88,102,106,113,85,60,50,14,10,10,9
8,12,14,6,10,8,7,0,59,84,88,74,67,62,74,95,117,123,114,85,61,50,11,0,8,8
6,12,13,7,8,0,9,45,78,93,79,60,56,64,84,108,126,132,116,91,65,51,11,8,0,0
7,5,7,0,0,6,12,53,85,94,54,15,55,69,89,106,119,124,123,98,70,51,13,11,0,7
0,0,12,0,12,14,51,51,59,58,30,23,57,67,83,103,115,125,119,100,71,41,13,8,0,0
0,0,13,10,12,15,31,25,50,54,23,51,57,66,78,102,112,118,117,92,64,32,13,9,0,0
0,7,10,0,14,13,15,10,30,52,12,53,57,65,73,99,113,119,119,87,65,28,12,6,0,0
0,0,8,9,11,0,7,13,38,13,43,50,53,58,72,95,114,113,116,90,62,25,9,0,6,0
0,0,9,8,6,0,14,22,41,13,12,12,51,53,65,77,95,100,95,76,60,14,0,0,0,0
0,0,11,6,0,11,14,14,36,42,33,13,50,50,58,69,82,82,80,66,56,12,0,0,0,0
