7,13,12,13,50,70,68,58,57,55,52,56,56,74,68,62,60,62,50,12,10,0,0,0,0,5
12,11,39,50,73,112,85,64,61,58,50,57,67,76,93,73,70,78,60,19,14,13,7,0,0,0
18,36,50,63,132,322,138,93,65,65,70,74,79,83,90,98,97,113,86,60,47,17,14,14,15,12
17,40,60,79,187,420,128,61,66,75,77,86,93,90,100,105,176,240,132,64,53,43,27,39,15,29
36,57,65,65,75,92,114,89,95,93,87,94,91,100,115,112,138,571,290,75,59,55,44,50,50,50
12,0,14,23,36,76,87,70,81,87,75,63,74,100,96,84,91,171,121,59,50,12,10,12,10,6
0,0,0,12,50,88,96,79,86,86,85,82,84,89,96,79,69,73,63,53,18,9,8,0,0,0
0,0,10,7,56,101,101,77,91,102,100,86,87,96,101,87,68,70,65,31,11,10,8,6,0,0
0,0,0,8,50,81,72,72,88,105,97,83,95,104,101,81,65,69,52,13,7,10,8,0,0,0
0,6,0,0,12,60,63,82,93,95,97,93,101,102,100,83,61,67,14,12,7,0,0,0,5,0
0,0,6,0,8,37,50,75,76,83,83,81,90,91,89,71,54,62,0,0,0,0,0,0,0,0
0,0,0,0,7,50,52,62,71,74,74,80,81,84,79,72,59,56,7,0,0,0,0,0,0,0
0,0,0,0,9,57,60,64,71,72,74,80,84,79,81,72,58,53,12,0,0,0,0,0,0,0
0,0,0,0,0,48,51,57,69,73,77,77,76,69,66,58,44,14,7,0,0,0,0,0,0,0
0,0,8,0,12,62,62,70,74,77,77,80,82,79,74,68,58,52,33,0,0,0,0,0,0,0
0,0,9,8,37,64,69,73,77,84,82,87,88,82,80,71,64,56,43,0,0,0,0,0,0,6
0,0,8,10,50,63,70,71,77,78,77,83,81,80,78,70,60,56,37,5,0,0,7,6,0,0
0,0,0,11,51,63,80,72,80,77,76,79,84,81,80,73,62,55,25,7,0,0,0,7,6,5
0,0,0,14,54,68,92,75,80,78,76,85,87,85,88,76,67,62,37,7,0,0,0,0,0,6
6,0,8,28,56,71,78,85,80,80,84,91,84,86,91,78,69,63,50,6,0,0,0,0,7,9
8,10,11,39,62,76,79,91,84,86,90,95,88,90,91,80,77,67,53,0,0,0,0,9,9,10
5,8,11,41,60,74,78,86,87,93,95,99,97,93,89,87,75,68,52,0,0,0,0,8,0,8
9,12,20,39,56,75,79,90,96,107,112,123,105,95,94,92,79,67,46,8,14,0,0,12,18,16
12,11,31,52,68,85,87,88,102,89,102,104,97,101,103,93,89,73,57,14,13,0,7,13,14,13
10,13,21,53,67,81,86,86,92,81,90,92,91,96,98,89,82,78,57,13,13,8,5,9,12,10
10,12,23,52,67,83,85,85,85,77,71,79,86,92,97,87,82,75,59,10,0,5,0,8,8,10
7,11,14,51,66,80,82,83,81,74,67,73,82,89,95,87,79,69,58,9,0,0,0,8,0,7
8,9,13,46,62,77,79,78,78,70,63,69,79,87,89,85,75,68,55,8,0,0,0,0,0,0
0,9,12,33,60,73,75,75,71,65,59,63,73,81,85,80,71,65,51,0,0,0,0,0,0,0
8,10,11,25,60,73,76,76,71,62,55,61,69,77,83,74,69,62,50,0,0,0,0,0,0,6
0,0,10,17,56,68,72,72,68,60,50,57,63,71,83,72,66,59,38,0,0,0,0,0,0,0
0,0,10,14,52,66,73,70,65,59,14,54,63,75,76,67,60,54,25,0,0,0,0,0,0,0
0,8,0,20,50,62,68,72,64,54,22,55,65,70,78,67,58,55,32,10,0,0,0,0,0,0
7,7,8,13,51,61,65,69,67,58,40,56,62,71,75,64,60,54,15,0,0,0,0,0,0,0
0,10,12,14,51,62,70,78,70,59,50,57,62,73,84,73,62,55,29,0,0,0,0,0,0,0
9,13,13,27,53,65,96,110,80,61,55,57,61,93,123,92,65,59,47,0,0,0,0,0,0,6
10,12,12,15,51,64,79,116,79,56,52,53,59,76,110,82,61,54,36,0,0,0,0,0,0,6
0,12,9,12,22,52,59,64,62,38,13,39,51,61,70,61,50,32,9,0,0,0,0,0,0,0
0,0,10,8,14,39,48,51,48,26,10,9,15,51,53,50,22,26,10,0,0,0,0,0,0,0
0,0,0,11,13,28,33,42,32,19,13,12,14,47,51,48,17,27,12,0,0,0,5,0,0,0
7,13,12,14,50,70,67,58,57,55,53,56,56,73,67,63,60,62,50,12,11,0,0,0,0,5
12,12,41,50,72,112,85,64,61,57,50,57,66,76,91,73,68,77,60,21,14,12,6,5,0,0
18,35,50,65,132,318,135,92,64,64,69,74,79,83,90,97,95,110,85,60,50,15,14,14,15,12
16,42,61,80,204,444,126,61,67,75,78,86,93,90,100,104,169,230,131,65,54,43,27,37,16,34
38,57,66,65,79,97,117,90,97,93,87,95,91,101,114,113,137,573,298,78,60,55,46,51,50,50
12,6,17,32,47,77,87,70,81,87,75,63,74,102,96,85,92,198,136,61,51,13,11,13,11,8
0,0,6,12,50,88,96,78,86,85,83,81,82,88,93,78,69,73,64,54,21,10,8,0,0,0
0,0,8,8,57,101,101,76,90,101,98,85,86,95,98,85,66,70,65,31,11,9,8,6,0,0
0,0,0,9,51,82,72,72,89,104,95,82,94,104,101,80,64,68,53,13,7,10,8,0,0,0
0,6,0,0,12,60,64,83,93,93,96,93,101,102,100,82,60,67,15,12,7,0,0,0,0,0
0,7,0,0,8,40,51,75,75,83,83,81,91,91,88,70,54,62,0,0,0,0,0,0,0,0
0,0,0,0,8,51,53,62,72,74,74,80,82,84,79,72,58,56,7,0,0,0,0,0,0,0
0,0,0,0,9,57,60,64,71,72,73,79,85,79,80,72,58,53,13,0,0,0,0,0,0,0
0,0,0,0,0,50,51,57,69,73,77,76,76,70,66,58,43,14,8,0,0,0,0,0,0,0
0,0,8,0,12,63,62,70,74,78,77,81,83,80,74,67,58,52,33,0,0,0,0,0,0,0
0,0,9,8,37,64,70,73,77,84,82,87,88,83,80,71,64,56,45,0,0,0,0,0,0,6
0,0,8,10,50,62,70,72,77,78,77,82,81,80,78,70,60,56,40,5,0,0,7,6,0,0
0,0,0,11,51,63,79,72,80,77,76,79,84,81,80,72,62,55,26,7,0,0,0,7,6,6
0,0,0,14,54,69,91,75,80,78,76,84,87,85,88,77,66,61,41,7,0,0,0,0,0,6
6,0,8,33,57,71,78,85,80,80,84,91,85,86,90,78,68,63,50,6,0,0,0,0,7,9
8,10,11,39,61,76,78,91,84,85,90,94,88,90,91,81,76,68,53,0,0,0,0,9,9,10
5,8,11,46,60,74,78,86,87,93,95,99,97,93,89,87,74,68,51,0,4,0,0,9,0,8
10,12,20,39,57,76,79,89,95,105,113,122,105,95,94,93,78,67,48,8,15,0,0,12,16,15
12,11,30,52,67,85,87,88,102,89,102,102,97,101,103,94,89,74,58,14,14,6,7,13,14,13
10,13,20,53,67,81,86,86,92,80,90,92,91,97,98,89,81,78,58,13,14,9,5,9,12,11
10,12,21,53,67,83,85,85,85,77,71,78,86,92,97,88,82,74,59,10,0,6,0,7,9,11
7,11,15,50,66,79,82,82,81,74,67,73,82,89,94,87,79,69,57,9,0,0,0,8,0,8
8,9,13,50,63,77,79,78,78,70,63,68,79,87,89,85,75,68,56,8,0,0,0,0,0,0
0,9,12,35,60,72,76,75,71,65,59,63,73,82,85,80,71,65,51,5,0,0,0,0,0,0
8,10,11,25,60,74,77,76,71,62,56,60,69,77,83,75,68,62,50,0,0,0,0,0,0,6
0,0,10,17,56,68,72,71,68,60,50,57,63,71,82,72,65,59,40,0,0,0,0,0,0,0
0,0,10,14,52,66,73,69,65,59,14,54,63,75,76,67,60,54,26,0,0,0,0,0,0,0
0,8,10,21,50,62,68,72,64,54,20,54,65,71,77,67,57,56,34,10,0,0,0,0,0,0
7,7,8,13,51,61,64,69,67,58,37,56,62,71,74,64,60,54,17,0,0,0,0,0,0,0
0,10,12,14,51,62,70,79,71,59,50,57,62,73,84,74,61,54,31,0,0,0,0,0,0,0
9,13,14,30,54,64,96,111,81,61,55,57,61,93,123,92,64,58,47,6,0,0,0,0,0,6
10,12,12,17,52,64,79,115,79,55,51,52,58,75,109,82,60,54,36,0,0,0,0,0,0,6
0,12,9,11,25,52,58,64,62,38,13,39,51,61,69,61,50,30,9,0,0,0,0,0,0,0
0,0,10,9,14,37,50,51,48,26,9,8,14,51,53,51,20,25,10,0,0,0,0,0,0,0
0,0,0,12,14,29,31,43,32,17,13,12,13,47,50,50,16,26,12,0,0,0,4,0,0,0
7,13,11,13,50,69,68,57,57,55,53,56,56,73,67,62,60,61,50,12,11,0,0,0,0,5
12,11,45,50,72,111,85,63,61,57,50,56,66,75,90,72,68,76,60,23,14,12,7,5,0,0
17,33,50,65,132,309,131,90,64,63,68,72,78,83,90,95,94,107,85,59,47,15,14,14,14,12
16,41,61,81,223,468,124,62,67,75,78,87,94,90,100,103,164,220,130,66,55,43,29,45,16,36
40,58,67,66,82,103,120,91,97,94,88,97,93,103,114,112,135,571,303,80,61,56,50,51,50,50
13,6,20,37,51,79,89,70,81,86,74,63,74,102,96,85,91,225,148,63,52,13,12,13,12,9
0,0,6,12,51,88,96,77,84,83,82,79,81,86,91,76,69,73,65,54,20,10,7,0,0,0
0,0,8,8,56,101,101,75,89,100,97,83,84,93,97,82,66,70,65,28,11,9,8,6,0,0
0,0,0,9,52,82,72,71,89,103,94,81,94,103,100,78,64,68,53,13,8,10,8,0,0,0
0,7,0,0,13,62,64,83,92,92,96,92,101,102,99,81,61,67,17,12,7,0,0,0,0,0
0,7,0,0,8,50,52,74,75,82,82,80,90,91,87,70,53,62,0,0,0,0,0,0,0,0
0,0,0,0,8,52,54,62,72,74,73,80,82,84,78,71,57,56,8,0,0,0,0,0,0,0
0,0,0,0,10,57,60,64,71,72,73,79,84,79,80,71,58,53,13,0,0,0,0,0,0,0
